Employee Number,Decimal Number
209165,46.75
209165,56.00
209165,48.00
209165,96.00
209165,124.22
209165,120.00
209086,17.03
209086,4.62
209086,.00
209086,.00
209086,.00
209086,14.46
209038,13.51
209038,5.75
209038,.00
209038,.00
209038,.00
209038,.00
209038,25.57
209067,44.17
209067,24.87
209067,.00
209067,16.00
209067,.00
209067,4.22
209040,99.10
209040,10.75
209040,.00
209040,16.00
209040,.00
209040,12.00
209040,110.76
209142,40.00
207930,34.79
207930,129.37
207930,8.00
207930,32.00
207930,480.00
207930,.00
207930,.00
207930,.00
207930,150.92
207930,16.00
208109,192.48
208109,.00
208109,56.00
208109,846.88
208109,40.00
208109,400.00
208109,.00
208109,56.00
208109,40.00
209115,4.00
209115,401.08
209115,56.00
209115,44.00
209115,846.88
209115,175.37
209115,48.00
209115,432.00
209115,536.00
209115,32.00
209115,12.00
209115,305.93
209115,56.00
209088,48.68
209088,8.00
209088,56.00
209088,103.34
209088,48.68
209088,8.00
209088,56.00
209088,103.34
208541,68.40
208541,.00
208541,56.00
208541,100.80
208541,49.20
208541,38.32
208541,51.60
208898,32.00
208995,56.39
208995,.00
208995,56.00
208995,33.46
208995,40.00
208995,14.00
208988,20.84
208988,12.00
208988,56.00
208988,6.42
208988,40.00
208988,40.00
207619,7.69
207619,.00
207619,56.00
207619,5.54
207619,56.91
207619,30.32
207619,39.60
209006,30.33
209006,16.00
209006,56.00
209006,102.61
209006,.00
209006,.00
209007,56.00
209007,40.00
209007,82.76
209007,209.27
209007,40.00
209007,72.48
208720,39.16
208720,16.00
208720,56.00
208720,74.22
208720,.00
209105,39.47
209105,.00
209105,56.00
209105,79.96
208881,9.96
208881,8.00
208881,56.00
208881,.00
208881,73.90
208881,40.00
208881,.00
208881,40.00
208487,186.63
208487,.00
208487,56.00
208487,509.43
208487,.00
208487,20.00
208487,47.50
208487,40.00
208580,56.00
208580,145.26
208580,75.42
208580,64.00
208580,458.87
208580,52.00
208580,616.00
208580,32.00
208580,986.34
208580,180.00
208580,334.13
208580,353.33
208580,47.50
208580,174.00
208580,227.68
208976,77.08
208976,7.00
208976,56.00
208976,77.54
208976,40.00
208976,40.00
208980,41.50
208980,14.00
208980,56.00
208980,98.50
208980,40.00
208980,37.00
209151,16.56
209151,16.00
209151,56.00
209151,30.78
209151,.00
208823,56.00
208823,40.00
208823,308.10
208823,313.09
208823,40.00
208823,80.00
208668,314.60
208668,16.00
208668,56.00
208668,551.03
208668,22.00
208668,40.00
208668,449.74
208668,53.00
208668,280.00
208668,757.85
208668,142.00
208668,308.10
208668,313.09
208668,157.00
208668,80.00
208736,214.01
208736,.00
208736,56.00
208736,.00
208736,124.63
208736,40.00
208736,40.00
208950,81.52
208950,16.00
208950,56.00
208950,291.16
208950,40.00
208950,40.00
208712,56.00
208712,40.00
208712,351.53
208712,488.26
208712,40.00
208712,48.00
208873,162.80
208873,.00
208873,40.00
208873,.00
208873,16.00
208873,174.10
208873,40.00
208300,154.10
208300,16.00
208300,56.00
208300,119.22
208300,.00
208300,.00
208300,.00
208300,.00
208300,.00
208300,55.90
208300,16.00
208774,4.92
208774,.00
208774,.00
208774,1.25
208774,.00
208774,.00
208774,.00
208774,8.33
208774,19.25
208831,7.62
208831,.00
208831,.00
208831,128.00
208831,.00
208831,16.00
208831,14.80
208831,.00
208966,18.65
208966,.00
208966,.00
208966,40.00
208966,.00
208966,.00
208966,.00
208966,.00
208966,55.69
208966,40.00
209128,33.88
209128,16.00
209128,.00
209128,60.94
208304,338.80
208304,16.00
208304,56.00
208304,341.60
208304,.00
208304,40.00
208304,.00
208304,296.00
208304,.00
208304,.00
208304,.00
208304,19.02
208304,40.00
208835,31.34
208835,3.00
208835,.00
208835,.00
208835,.00
208835,36.94
208835,40.00
208826,235.48
208826,16.00
208826,56.00
208826,415.49
208826,.00
208826,40.00
208826,.00
208826,40.00
208765,172.67
208765,16.00
208765,56.00
208765,468.93
208765,40.00
208765,40.00
209004,24.00
208834,8.40
208834,.00
208834,31.00
208834,.00
208834,11.00
208834,72.38
208834,40.00
208834,464.19
208834,96.00
208834,392.00
208834,24.00
208834,821.97
208834,3.00
208834,352.25
208834,351.53
208834,488.26
208834,.00
208834,424.00
208834,43.00
208834,437.16
208834,435.25
208834,48.00
208982,56.00
208982,40.00
208982,109.06
208982,199.27
208982,40.00
208982,80.00
205915,473.58
205915,68.16
205915,40.00
205915,.00
205915,.00
205915,16.00
205915,.00
205915,.00
205915,354.21
205915,40.00
205915,473.58
205915,56.00
205915,68.16
205915,80.00
205915,109.06
205915,199.27
205915,16.00
205915,354.21
205915,80.00
205915,80.00
208272,338.46
208272,8.00
208272,56.00
208272,960.36
208272,40.00
208272,.00
208272,40.00
208878,31.46
208878,.00
208878,56.00
208878,201.40
208878,36.00
208878,33.00
208999,91.76
208999,16.00
208999,56.00
208999,191.38
208999,.00
208999,40.00
208999,40.00
209081,43.76
209081,.00
209081,.00
209081,16.00
209081,.00
209081,54.10
209081,505.44
209081,24.00
209081,168.00
209081,353.14
209081,116.00
209081,16.00
209081,54.10
209081,113.00
208149,2.82
208149,.00
208149,.00
208149,186.00
208149,.00
208149,.00
208149,.00
208149,10.00
208149,3.38
208149,.00
209143,40.00
208631,100.92
208631,28.05
208631,.00
208631,.00
208631,14.00
208631,.00
208631,9.00
208631,292.65
208631,36.00
208094,446.30
208094,16.00
208094,56.00
208094,879.90
208094,.00
208094,40.00
208094,.00
208094,.00
208094,.00
208094,251.80
208094,40.00
209163,12.32
209163,.00
209163,.00
209163,5.00
209163,.00
209163,12.00
209163,14.80
208484,88.85
208484,.00
208484,.00
208484,.00
208484,11.00
208484,.00
208484,4.00
208484,81.40
208484,.00
208896,51.45
208896,162.02
208896,.00
208896,.00
208896,.00
208896,.00
208896,3.00
208896,27.38
208896,.00
209164,12.32
209164,.00
209164,.00
209164,13.83
209164,.00
209164,12.00
209164,14.80
209108,56.00
209108,103.13
209108,80.39
209108,55.00
208933,64.00
208933,40.00
208933,40.00
208963,16.57
208963,5.28
208963,.00
208963,.00
208963,.00
208963,.00
208963,6.00
208963,58.76
208963,13.00
208581,35.08
208581,.67
208581,.00
208581,.00
208581,.00
208581,.00
208581,5.00
208581,4.20
208581,.00
207777,20.98
207777,.25
207777,1.00
207777,16.00
207777,.00
207777,480.00
207777,.00
207777,8.00
207777,.00
207777,5.00
207777,19.58
207777,.00
209162,13.71
209162,.00
209162,.00
209162,14.00
209162,.00
209162,12.00
209162,.00
208917,209.29
208917,.00
208917,5.00
208917,.00
208917,10.75
208917,.00
208917,6.00
208917,67.00
208917,40.00
208917,010.61
208917,16.00
208917,112.00
208917,104.00
208917,879.90
208917,196.29
208917,86.00
208917,103.13
208917,80.39
208917,16.00
208917,666.00
208917,76.58
208917,84.00
208917,835.75
208917,169.00
208917,55.00
208637,85.86
208637,105.37
208637,56.30
208637,296.70
208637,674.16
208637,56.30
208042,667.29
208042,377.75
208042,56.30
208042,10.00
208042,180.60
208042,973.45
208042,56.30
208130,110.28
208130,480.00
208130,56.30
208130,112.60
208130,509.55
208130,204.36
208130,56.30
208177,66.91
208177,69.75
208177,34.30
208177,14.20
208177,965.55
208177,32.30
208643,121.86
208643,126.63
208643,8.30
208643,45.15
208643,465.16
208643,56.30
208895,97.30
208895,22.50
208895,40.00
208895,.00
208895,16.00
208895,26.38
208895,.00
207350,107.92
207350,18.75
207350,56.30
207350,45.15
207350,448.85
207350,56.30
208131,17.55
208131,120.00
208131,8.30
